listing_name,categories,seniority,required_skills
programista ds. automatyzacji testw,testing,mid,"['java', 'python', 'javascript', 'selenium', 'cypress.io', 'appium', 'rest assured', 'istqb', 'postman']"
data engineer,data,mid,"['python', 'etl', 'spark', 'rdbms', 'pyspark', 'sql', 'azure services', 'scala', 'terraform', 'iac']"
golang/python software engineer,python,mid,"['python', 'kubernetes', 'golang', 'docker', 'jenkins', 'terraform', 'linux']"
big data engineer want-to-be,data,junior,"['python', 'java', 'big data', 'scala', 'cloud', 'airflow', 'kubernetes', 'kafka', 'docker', 'apache spark']"
nlp developer,python,senior,"['nlp', 'polish', 'english', 'pytorch', 'ai/ml', 'python', 'aws', 'fastapi']"
lead full stack engineer,python,senior,"['python', 'django', 'vue.js', 'nuxt', 'javascript', 'typescript', 'webgl', 'three.js']"
senior qa automation engineer,testing,senior,"['automated testing', 'robot framework', 'english', 'python', 'jenkins', 'desktop testing']"
middle qa automation engineer,testing,mid,"['testing', 'python', 'desktop testing', 'git', 'robot framework']"
python developer,python,mid,"['polish', 'python', 'linux', 'english', 'mysql', 'django', 'flask', 'jenkins', 'docker', 'aws']"
koordynator ds. utrzymania systemw it,support,mid,"['linux', 'san', 'shell', 'python', 'andible', 'git', 'zabbix', 'vmware']"
support engineer,python,mid,"['python', 'pyspark', 'sql', 'java', 'javascript']"
test automation engineer (python),testing,junior,"['python', 'sql', 'git', 'xml/json', 'cicd tools', 'pandas', 'api testing', 'test rail', 'docker', 'robot framework']"
devops engineer,devops,mid,"['linux', 'docker', 'aws', 'ci/cd', 'bash', 'terraform', 'ansible', 'python', 'shell']"
test automation lead,testing,mid,"['python or java-based frameworks', 'ci/cd', 'bamboo or jenkins', 'cucumber/gherkin', 'java/c#/python', 'design patterns']"
cloud python developer,python,mid,"['google cloud', 'airflow', 'payspark', 'git']"
middle/senior aqa embedded engineer,python,senior,"['python', 'linux', 'robot framework', 'pytest', 'aws', 'iot']"
data engineer,data,mid,"['azure services', 't-sql', 'agile', 'sql', 'python']"
data scientist,data,mid,"['python', 'sql', 'git']"
senior azure data engineer,data,senior,"['pyspark', 'python', 'databricks']"
data analyst,data,mid,"['business intelligence', 'power bi', 'data', 'ms excel', 'sap', 'power apps', 'sql', 'dax', 'vba', 'python']"
mid backend engineer (python),python,mid,"['python', 'django', 'django rest framework', 'english', 'aws', 'docker', 'celery']"
senior ml/nlp engineer,data,senior,"['machine learning', 'python', 'data science', 'aws']"
sysadmin,admin,mid,"['git', 'ansible', 'jenkins', 'docker', 'kubernetes', 'bash', 'python', 'go', 'terraform', 'saltstack']"
technical pmo analyst - banking,pm,mid,"['clarity ppm', 'jira', 'confluence', 'ms excel', 'powerbi / tableau', 'python']"
staff ml engineer,data,senior,"['data science', 'machine learning', 'python', 'aws']"
