listing_name,categories,seniority,required_skills
Programista ds. Automatyzacji Testów,testing,mid,"['Java', 'Python', 'JavaScript', 'Selenium', 'Cypress.io', 'Appium', 'REST Assured', 'ISTQB', 'Postman']"
Data Engineer,data,mid,"['Python', 'ETL', 'Spark', 'RDBMS', 'PySpark', 'SQL', 'Azure Services', 'Scala', 'Terraform', 'IaC']"
Golang/Python Software Engineer,python,mid,"['Python', 'Kubernetes', 'Golang', 'Docker', 'Jenkins', 'Terraform', 'Linux']"
Big Data Engineer Want-To-Be,data,junior,"['Python', 'Java', 'Big Data', 'Scala', 'Cloud', 'Airflow', 'Kubernetes', 'Kafka', 'Docker', 'Apache Spark']"
NLP Developer,python,senior,"['NLP', 'Polish', 'English', 'PyTorch', 'AI/ML', 'Python', 'AWS', 'fastapi']"
Lead Full Stack Engineer,python,senior,"['Python', 'Django', 'Vue.js', 'Nuxt', 'JavaScript', 'TypeScript', 'WebGL', 'Three.js']"
Senior QA Automation Engineer,testing,senior,"['Automated Testing', 'Robot Framework', 'English', 'Python', 'Jenkins', 'Desktop Testing']"
Middle QA Automation Engineer,testing,mid,"['Testing', 'Python', 'Desktop Testing', 'Git', 'Robot Framework']"
Python Developer,python,mid,"['Polish', 'Python', 'Linux', 'English', 'MySQL', 'Django', 'Flask', 'Jenkins', 'Docker', 'AWS']"
KOORDYNATOR DS. UTRZYMANIA SYSTEMÓW IT,support,mid,"['Linux', 'SAN', 'Shell', 'Python', 'Andible', 'Git', 'Zabbix', 'VMware']"
Support Engineer,python,mid,"['Python', 'PySpark', 'SQL', 'Java', 'JavaScript']"
Test Automation Engineer (Python),testing,junior,"['Python', 'SQL', 'Git', 'XML/JSON', 'CICD tools', 'Pandas', 'API Testing', 'Test Rail', 'Docker', 'Robot Framework']"
DevOps Engineer,devops,mid,"['Linux', 'Docker', 'AWS', 'CI/CD', 'Bash', 'Terraform', 'Ansible', 'Python', 'Shell']"
Test Automation Lead,testing,mid,"['Python or Java-based frameworks', 'CI/CD', 'Bamboo or Jenkins', 'Cucumber/Gherkin', 'Java/C#/Python', 'Design Patterns']"
Cloud Python Developer,python,mid,"['Google Cloud', 'Airflow', 'Payspark', 'Git']"
Middle/Senior AQA Embedded Engineer,python,senior,"['Python', 'Linux', 'Robot Framework', 'pytest', 'AWS', 'IoT']"
Mobile QA Automation Engineer,java,senior,"['JavaScript', 'Python', 'Jenkins', 'Swift', 'Kotlin', 'Appium']"
Data Engineer,data,mid,"['Azure Services', 'T-SQL', 'Agile', 'SQL', 'Python']"
Data Scientist,data,mid,"['Python', 'SQL', 'Git']"
Senior Azure Data Engineer,data,senior,"['PySpark', 'Python', 'Databricks']"
Embedded Software Engineer,c,mid,"['Linux', 'C++', 'English', 'CMake', 'AOSP', 'Yocto', 'Docker', 'Python']"
Embedded C++ Engineer (Autosar or QNX),c,mid,"['C++', 'Embedded', 'Python', 'Linux', 'Linux Kernel', 'QNX', 'Autosar']"
Data Analyst,data,mid,"['Business Intelligence', 'Power BI', 'Data', 'MS Excel', 'SAP', 'Power Apps', 'SQL', 'DAX', 'VBA', 'Python']"
Mid Backend Engineer (Python),python,mid,"['Python', 'Django', 'Django Rest Framework', 'English', 'AWS', 'Docker', 'Celery']"
Senior ML/NLP Engineer,data,senior,"['Machine Learning', 'Python', 'Data Science', 'AWS']"
SysAdmin,admin,mid,"['Git', 'Ansible', 'Jenkins', 'Docker', 'Kubernetes', 'Bash', 'Python', 'Go', 'Terraform', 'SaltStack']"
Technical PMO Analyst - Banking,pm,mid,"['Clarity PPM', 'JIRA', 'Confluence', 'MS Excel', 'PowerBI / Tableau', 'Python']"
Staff ML Engineer,data,senior,"['Data Science', 'Machine Learning', 'Python', 'AWS']"
IAM Engineer,testing,mid,"['IAM', 'English', 'IDAM', 'SQL', 'Powershell', 'Bash', 'Python', 'JavaScript', 'Active Directory', 'Windows Server']"
Mid Python & React Fullstack (REMOTE),javascript,mid,"['Python', 'React']"
IoT Solutions Backend Developer,java,junior,"['Java', 'Spring', 'Front-End', 'Design Patterns', 'Python']"
Security Engineer,python,senior,"['Powershell', 'JavaScript', 'Python', 'Ansible']"
Mid Software Developer,net,mid,"['.Net 5', 'C#', 'Git', 'Automated Testing', 'Unit Testing', 'Machine Learning', 'Computer Vision', 'Kubernetes', 'Python']"
Automotive Test Engineer – HIL/SIL/MIL,testing,mid,"['English', 'Python', 'C', 'C++', 'ADAS', 'Matlab', 'Simulink', 'German', 'Vector tools']"
Technical/ Engineering Lead,devops,senior,"['Linux', 'Bash', 'TCP', 'IP', 'Python']"
Cloud Engineer,data,mid,"['Cloud', 'Azure', 'AWS', 'GCP', 'Python', 'Ansible', 'CircleC']"
Data Engineer,data,mid,"['Software Development', 'Data modeling', 'Python', 'Databases', 'Java', 'Azure', 'Spark', 'Databricks', 'PySpark', 'AWS']"
Senior Data Engineer II,data,senior,"['Python', 'Pandas', 'ETL', 'NumPy', 'SQL', 'AWS', 'Docker', 'Terraform']"
QA Engineer (Python),testing,mid,"['Python', 'Mobile & Web testing', 'Automated Testing', 'software testing methodologies', 'STLC', 'SDLC', 'Manual Testing', 'ISTQB']"
Mid/Senior Python Developer,python,senior,"['Python', 'Blender', '3D modeling', 'English', 'JIRA', 'Asana', 'Clickup']"
Administrator Systemów,admin,mid,"['Linux', 'Docker', 'Python', 'Zabbix']"
IoT Engineer,devops,junior,"['Databases', 'HTML5', 'IoT', 'Linux', 'Python', 'Ruby', 'Angular 2+', 'JavaScript']"
Developer with Data Science on SCM,data,mid,"['Data Science', 'Python', 'SQL', 'Machine Learning', 'Cloud', 'Azure']"
Full Stack and Python Developer,python,mid,"['Python', 'SQL', 'REST', 'Angular', 'Azure']"
DevOps / Build Engineer,devops,senior,"['Python', 'Groovy', 'Jenkins', 'Ansible', 'Docker', 'Kubernetes', 'AWS']"
.Net Full Stack Developer,net,mid,"['.NET Core', 'React', 'Kubernetes', 'Python', 'Azure']"
In¿ynier Danych,data,mid,"['Big Data', 'Kubernetes', 'Python', 'Scala', 'Airflow', 'Spark']"
Senior Software Engineer (Python),python,senior,"['Python', 'SQL', 'Kubernetes', 'Software Architecture', 'ReactJS', 'JavaScript']"
Data Scientist,data,mid,"['Python', 'Data Science', 'Pandas', 'NumPy', 'XGBoost']"
Technical Software Lead,c,senior,"['C', 'Team Management', 'Embedded', 'Python', 'Automotive', 'People Management']"
Embedded Software Tester (C),testing,mid,"['vTsystem', 'vTestStudio', 'winIdea', 'Tessy', 'PTC Integrity', 'Eclipse', 'C', 'Python', 'CAPL', 'Embedded']"
Full Stack Software Engineer,python,mid,"['Python', 'ReactJS', 'SQL', 'Docker']"
Data Scientist,data,senior,"['Python', 'Data', 'Data analysis', 'Statistics']"
IT Administrator / System Engineer,admin,junior,"['Windows', 'Python', 'Bash', 'Linux', 'Automation Tools', 'Networking', 'Cybersecurity']"
Data Analyst,analytics,mid,"['data analyst', 'MS SQL Server', 'Power BI', 'English', 'R programming language', 'Statistica', 'Python']"
Business Intelligence Team Leader,data,senior,"['Tableau', 'Power BI', 'R', 'Python']"
Senior Business System Analyst,analytics,senior,"['Web Services', 'REST API', 'SQL', 'UML', 'Kafka', 'BPMN', 'UX/UI', 'Python', 'JS', 'C#']"
Backend Python Developer,python,mid,"['Python', 'Git', 'SQL', 'SQLAlchemy or Django ORM', 'FAST API', 'NumPy and Pandas', 'Containers', 'Bash or similar', 'Continuous Integration', 'Database qeries profiling']"
Senior Backend Engineer (C#),net,senior,"['C#', '.Net/Go/Python', 'Microservices', 'PostgreSQL', 'Machine Learning']"
Senior DevOps Engineer,devops,senior,"['Ansible', 'Docker', 'Python', 'Ruby', 'Linux', 'Windows', 'AWS', 'Azure']"
Senior Big Data Developer,data,senior,"['Big Data', 'Java', 'Scala', 'Python', 'Hadoop', 'Spark', 'Kafka', 'Snowflake']"
Python Developer,python,senior,"['TensorFlow', 'PyTorch', 'JavaScript', 'TypeScript', 'Node.js', 'Java', 'C++']"
Senior Data Engineer,data,senior,"['SQL', 'Python', 'Snowflake', 'Java']"
Commod Quant Developer,python,senior,"['English', 'Python', 'AWS', 'Azure', 'Google Cloud Platform']"
Cloud Automation Engineer,testing,mid,"['IT Infrastructure', 'Cloud Services', 'C#', 'Python', 'DevOps methodologies', 'Continuous Delivery', 'GXP', 'ISTQB']"
Senior Python Engineer,python,senior,"['Python', 'English', 'Django', 'Celery', 'Testing', 'Linux', 'SQL', 'Docker']"
Data Analyst (Pricing Analyst Team),data,mid,"['Power BI', 'SQL', 'Python']"
Machine Learning Engineer,python,senior,"['Teamwork', 'Python programming', 'Machine Learning', 'Databases', 'Natural Language Processing', 'Cloud platform services (preferably GCP)', 'REST API', 'Deep Learning  (PyTorch or TensorFlow)', 'Container-based system', 'Data Science in Python']"
Senior Software Engineer (Remote),python,senior,"['TDD', 'Python', 'DevOps', 'Cloud']"
Senior Data Scientist,data,senior,"['Machine Learning', 'Python', 'NLP', 'SQL', 'Azure', 'Power BI', 'R', 'Selenium', 'JavaScript']"
Junior BI Developer,data,junior,"['Power BI', 'Tableau', 'SQL', 'Python', 'Microsoft Azure']"
Data Engineer,data,mid,"['Python', 'AWS', 'SQL', 'Git', 'Apache Kafka', 'Hadoop', 'JavaScript']"
Automation Tester,testing,mid,"['Cucumber', 'Node.js', 'Python', 'OpenAPI', 'BOM/DOM', 'CI/CD', 'Linux', 'Cloud', 'SQL', 'NoSQL']"
Python / SQL Oracle Developer,python,mid,"['Python', 'SQL']"
DevOps Engineer,devops,senior,"['Kubernetes', 'Docker', 'Python', 'Shell', 'AWS', 'Azure', 'Google Cloud Platform', 'CI/CD', 'Terraform', 'Go']"
Data Science Lead,data,senior,"['SQL', 'Python', 'Analytical Thinking', 'Data Science', 'Project Management', 'Zarz¹dzanie zespo³em', 'modelowanie statystyczne', 'R', 'AWS', 'Google Cloud']"
Data Scientist,data,mid,"['Teamwork', 'Data Science in Python', 'Pragmatic problem solver', 'Analytical mindset and attention to details', 'Python', 'SQL', 'Cloud platform services (preferably GCP)']"
DevSecOps Lead,devops,senior,"['DevOps', 'DevOps tools', 'Security', 'CI/CD', 'Microservices', 'Scripting', 'Powershell', 'Bash', 'Python', 'Docker']"
Machine Learning Engineer,python,mid,"['Python', 'PyTorch', 'TensorFlow', 'Machine Learning', 'Deep Learning', 'Cloud Computing', 'Computer Vision', 'Algorithms']"
DevOps Engineer,devops,mid,"['Puppet', 'Linux', 'Unix', 'Powershell', 'Python', 'Perl', 'Ruby']"
Big Data Analyst,data,mid,"['SQL', 'Python', 'AWS', 'Data Studio', 'QuickSight', 'Jenkins', 'Big Query']"
DevOps Engineer,devops,senior,"['Python', 'AWS', 'Terraform', 'Cognito', 'Aurora', 'Elasticsearch', 'PostgreSQL', 'Docker / Kubernetes', 'CI / CD']"
Automation Tester (Python),testing,mid,"['Python', 'Robot Framework', 'Git', 'TDD', 'Continuous Integration']"
Senior Software Engineer (Python),python,senior,"['Python', 'Redis', 'AWS', 'MySQL']"
ETL Developer / Data Engineer,python,senior,"['Python', 'ETL / ELT', 'Data Warehouse', 'Azure Data Factory', 'Databricks', 'Spark', 'Kafka', 'SQL', 'Synapse', 'PowerBi']"
Software Engineer (High Load),scala,mid,"['Java', 'Scala', 'Python', 'JS', 'C#', 'DevOps', 'SQL', 'Kafka', 'Kubernetes']"
Java Engineer,java,senior,"['Spring', 'SOAP', 'REST API', 'JavaScript', 'TypeScript', 'Python', 'React', 'Docker', 'Kubernetes']"
Data Scientist Lead,python,senior,"['Python', 'SQL']"
Data Scientist Lead,data,senior,"['Python', 'SQL']"
Senior Python Developer,python,senior,"['Python', 'Django', 'OOP']"
Data Scientist,data,mid,"['SQL', 'R/Python', 'Power BI', 'AWS']"
Software Engineer (Aviation Industry),python,senior,"['Python', 'C++', 'Django', 'TDD', 'Redis', 'Docker', 'Continuous Integration', 'GitLab', 'Databases', 'ReactJS']"
QA Engineer with Python,python,mid,"['Python', 'Linux', 'TCP/IP', 'REST', 'webUI testing']"
Senior DevOps Engineer,devops,senior,"['Kubernetes', 'Docker', 'Python', 'Golang']"
Application Administrator - Service Desk,admin,mid,"['JIRA', 'Confluence', 'Slack', 'Atlassian', 'SiL', 'Python']"
Application Specialist,devops,mid,"['RHEL', 'Linux', 'ITIL', 'Python', 'C', 'C++']"
Senior Python Developer - Remote,python,senior,"['Python', 'Scrapy']"
Senior Data Engineer,data,senior,"['Python', 'SQL', 'Apache Airflow', 'Kubernetes', 'MS SQL Server', 'AWS', 'Git', 'Snowflake', 'Docker']"
Engineering Manager,pm,mid,"['Team Growth', 'Leadership', 'Agile', 'Python', 'React']"
M³odszy Administrator Baz Danych Oracle,admin,junior,"['Oracle', 'CentOS', 'Linux', 'HA/DR', 'Bash', 'Python', 'Powershell']"
"Staff SWE, Backend (Merchant Servicing)",python,senior,"['Python', 'Kotlin', 'React']"
Senior Site Reliability Engineer,devops,senior,"['Observability tools', 'Java or Go or Python', 'Kubernetes', 'AWS or Azure']"
Principal Software Engineer,java,senior,"['System Design', 'Code Review', 'AWS', 'Java', 'Algorithms', 'Kubernetes', 'Go', 'Golang', 'Python', 'Ruby']"
Python Developer,python,mid,"['Python', 'Docker', 'Kubernetes', 'DevOps tools']"
Solution Architect,python,mid,"['Python', 'SQL', 'Spark', 'Big Data']"
Senior Full-stack Engineer with Python,python,senior,"['Machine Learning', 'React', 'Vue.js', 'Python', 'English']"
Senior Machine Learning Engineer,python,senior,"['Python', 'PyTorch', 'TensorFlow', 'Machine Learning', 'Algorithms', 'Deep Learning', 'Cloud Computing', 'Computer Vision']"
Backend Python Developer,python,mid,['Python']
Frontend Python Developer,python,mid,['Python']
Software Test Engineer,python,mid,"['Python', 'JavaScript', 'Selenium', 'Cucumber', 'TestCafé', 'Mocha', 'Chai', 'CI/CD', 'HTML', 'CSS']"
Senior Automation QA Engineer,testing,senior,"['Java', 'Python', 'Appium']"
Senior Python Developer,python,senior,"['Python', 'SQL', 'AWS', 'Cloud', 'Kubernetes', 'Docker', 'Sagemaker']"
Senior Data Engineer,data,senior,"['SQL', 'DBT', 'Python', 'Terraform', 'Looker', 'GCP']"
Mid QA Engineer,testing,mid,"['Python', 'pytest', 'Unix']"
Senior Python (Django) Engineer,python,senior,"['Python', 'Django', 'PostgreSQL', 'Grafana', 'Azure']"
Senior Python Test Egineer,testing,senior,"['Python', 'Selenium', 'Robot Framework', 'OpenStack', 'Docker', 'Kubernetes']"
Linux Developer,admin,mid,"['GNU', 'Linux', 'Python', 'Git', 'DevOps', 'ARM', 'C']"
Senior Full-stack Developer,python,senior,"['Python', 'JavaScript', 'React', 'SQL', 'English']"
SR Data Engineer,data,senior,"['SQL', 'Python', 'AWS']"
Trainee Software Engineer,java,junior,"['Java', 'Python']"
Programista C/C++,c,mid,"['C', 'C++', 'Linux/Windows', 'GNU', 'Python', 'Shell']"
Remote Senior Python Developer,python,senior,"['Python', 'Django', 'Linux', 'Cloud Computing', 'CI/CD', 'Docker']"
Senior Data Engineer,data,senior,"['Python', 'MongoDB', 'AWS', 'Backend', 'Elasticsearch', 'Redshift', 'RabbitMQ', 'Docker']"
