listing_name,categories,seniority,required_skills
 GoLang Backend Developer ,"[' Backend ', ' Golang ']", Mid ,"[' Golang ', ' Python ', ' Bash ', ' Go ', ' databases ']"
 Remote Python Developer ,"[' Backend ', ' Python ']", Mid ,"[' Python ', ' Docker ', ' Kubernetes ', ' SQL ']"
 Mid/Senior Python DevOps Engineer ,"[' DevOps ', ' Python ']"," Mid, Senior ","[' Python ', ' Bash ', ' Varnish ', ' Nginx ', ' Linux ', ' Docker ', ' GitLab ', ' Celery ', ' PostgreSQL ', ' Ansible ', ' Terraform ', ' AWS ']"
 BI Reporting  ,[' Business Intelligence '], Mid ,"[' spotfire ', ' Python ', ' SQL ']"
 Azure Tech Lead ,[' Business Intelligence '], Senior ,"[' Azure ', ' Data Engineering ', ' SQL ', ' ETL ', ' Python ', ' Azure Data Factory ', ' PySpark ', ' Azure Databricks ', ' ADLS ', ' Azure Synapse ', ' DWH ', ' CI/CD ', ' Cloud environment ', ' Proactivity ', ' Critical thinking ', ' Team Player ', ' Leadership and management skills ', ' DP-201 ', ' DP-203 ', ' AZ-400 ', ' Technical Leadership and Architecture ']"
 Senior Test Automation Engineer (Python) ,"[' Testing ', ' Python ']", Senior ,"[' Python ', ' Selenium ', ' pytest ', ' QA ', ' CI/CD ', ' Kubernetes ', ' AWS ', ' Cypress ']"
 DevOps Engineer ,[' DevOps '], Mid ,"[' Bash/Python/Golang ', ' Docker ', ' Linux ', ' CI/CD ', ' Kubernetes ', ' Terraform ', ' PostgreSQL ', ' MySQL ', ' LAN ', ' WAN ', ' Grafana ', ' Prometheus ', ' JVM ', ' Elasticsearch ', ' GCP ', ' AWS ']"
 Python Developer ,"[' Backend ', ' Python ']", Mid ,"[' Python ', ' Django ', ' REST ', ' Docker ']"
 Test Engineer for Avigilon Cameras ,"[' Testing ', ' Python ']", Mid ,"[' Python ', ' Photography ']"
 Manager of QA & Automation ,"[' Testing ', ' Selenium ']", Senior ,"[' Selenium ', ' Puppeteer ', ' Cypress ', ' Appium ', ' SoapUI ', ' Rest-Assured ', ' Postman ', ' Java ', ' JavaScript ', ' Python ', ' C# ', ' SQL ', ' Relational database ', ' REST ', ' SOAP ', ' CRM ', ' DMS ', ' ERP ', ' SAP ', ' Katalon Studio ', ' Tricentis Tosca ', ' Micro Focus UFT ', ' ISTQB ']"
  Senior DevOps Engineer (Azure)  ,[' DevOps '], Senior ,"[' Microservices ', ' Docker ', ' Kubernetes ', ' Linux ', ' Windows ', ' PowerShell ', ' Python ', ' Ruby ', ' Golang ', ' Puppet ', ' Progress Chef ', ' Protocols ', ' Tomcat ', ' IIS ', ' SQL Server ', ' DevOps ', ' CI/CD ', ' Azure ', ' Microsoft Azure ', ' Azure Cloud ']"
  NLP Engineer  ,"[' AI ', ' Python ']"," Mid, Senior ","[' Python ', ' Linux ', ' NLP ', ' Machine Learning ', ' Keras ', ' scikit-learn ', ' PyTorch ', ' TensorFlow ', ' C++ ']"
 Advanced Algorithms Engineer ,[' Embedded '], Senior ,"[' C++ ', ' C# ', ' Python ', ' Microsoft office ', ' Machine learning ', ' Deep learning ', ' Algorithm Development ']"
