listing_name,categories,seniority,required_skills
 GoLang Backend Developer ,python, Mid ,"[' Golang ', ' Python ', ' Bash ', ' Go ', ' databases ']"
 Remote Python Developer ,python, Mid ,"[' Python ', ' Docker ', ' Kubernetes ', ' SQL ']"
 Mid/Senior Python DevOps Engineer ,devops," Mid, Senior ","[' Python ', ' Bash ', ' Varnish ', ' Nginx ', ' Linux ', ' Docker ', ' GitLab ', ' Celery ', ' PostgreSQL ', ' Ansible ', ' Terraform ', ' AWS ']"
 BI Reporting  ,analytics, Mid ,"[' spotfire ', ' Python ', ' SQL ']"
 Azure Tech Lead ,analytics, Senior ,"[' Azure ', ' Data Engineering ', ' SQL ', ' ETL ', ' Python ', ' Azure Data Factory ', ' PySpark ', ' Azure Databricks ', ' ADLS ', ' Azure Synapse ', ' DWH ', ' CI/CD ', ' Cloud environment ', ' Proactivity ', ' Critical thinking ', ' Team Player ', ' Leadership and management skills ', ' DP-201 ', ' DP-203 ', ' AZ-400 ', ' Technical Leadership and Architecture ']"
 Senior Test Automation Engineer (Python) ,testing, Senior ,"[' Python ', ' Selenium ', ' pytest ', ' QA ', ' CI/CD ', ' Kubernetes ', ' AWS ', ' Cypress ']"
 DevOps Engineer ,devops, Mid ,"[' Bash/Python/Golang ', ' Docker ', ' Linux ', ' CI/CD ', ' Kubernetes ', ' Terraform ', ' PostgreSQL ', ' MySQL ', ' LAN ', ' WAN ', ' Grafana ', ' Prometheus ', ' JVM ', ' Elasticsearch ', ' GCP ', ' AWS ']"
 Python Developer ,python, Mid ,"[' Python ', ' Django ', ' REST ', ' Docker ']"
 Test Engineer for Avigilon Cameras ,testing, Mid ,"[' Python ', ' Photography ']"
 Manager of QA & Automation ,testing, Senior ,"[' Selenium ', ' Puppeteer ', ' Cypress ', ' Appium ', ' SoapUI ', ' Rest-Assured ', ' Postman ', ' Java ', ' JavaScript ', ' Python ', ' C# ', ' SQL ', ' Relational database ', ' REST ', ' SOAP ', ' CRM ', ' DMS ', ' ERP ', ' SAP ', ' Katalon Studio ', ' Tricentis Tosca ', ' Micro Focus UFT ', ' ISTQB ']"
  Senior DevOps Engineer (Azure)  ,devops, Senior ,"[' Microservices ', ' Docker ', ' Kubernetes ', ' Linux ', ' Windows ', ' PowerShell ', ' Python ', ' Ruby ', ' Golang ', ' Puppet ', ' Progress Chef ', ' Protocols ', ' Tomcat ', ' IIS ', ' SQL Server ', ' DevOps ', ' CI/CD ', ' Azure ', ' Microsoft Azure ', ' Azure Cloud ']"
  NLP Engineer  ,data," Mid, Senior ","[' Python ', ' Linux ', ' NLP ', ' Machine Learning ', ' Keras ', ' scikit-learn ', ' PyTorch ', ' TensorFlow ', ' C++ ']"
 Python Developer ,python," Mid, Senior ","[' Python ', ' Git ', ' Linux ', ' Docker ', ' SQL ', ' Python ', ' Django ', ' Celery ', ' Redis ', ' PostgreSQL ', ' Google cloud platform ']"
 NLP Developer ,data," Mid, Senior ","[' Python ', ' AI ', ' TensorFlow ', ' PyTorch ', ' Hugging Face ', ' Flask ', ' NLP ', ' FastAPI ']"
 Python Developer with Django ,python, Mid ,"[' Python ', ' Django ', ' SQL ', ' AWS ']"
 ETL Developer ,data, Mid ,"[' Azure ', ' ETL ', ' SQL ', ' Data engineering ', ' Azure Data Factory ', ' Azure Databricks ', ' NoSQL ', ' FTP ', ' Python ', ' Kafka ', ' Vault ', ' Azure Cloud ', ' Azure Data ', ' Blob Storage ', ' Azure DevOps ', ' Azure Storage ', ' Azure Monitor ', ' Git ', ' Oracle ', ' PowerBI ', ' Visual Studio ', ' PowerShell ', ' Jira ', ' Confluence ', ' Spark ', ' .NET ', ' SSIS ', ' C# ']"
 Senior Data Engineer ,data," Mid, Senior ","[' ETL ', ' Python ', ' Airflow ', ' AWS ', ' GIT ', ' SQL ', ' Spark ', ' Snowflake ', ' Hadoop ', ' Machine Learning ', ' Java ', ' Docker ', ' Kubernetes ', ' AWS S3 ', ' Amazon EKS ', ' Glue ', ' Prometheus ', ' Grafana ', ' CI/CD ', ' Tableau ']"
 Data Engineer ML ,data, Senior ,"[' Python ', ' QA ', ' AI ', ' Machine Learning ', ' Microservices ', ' PyTorch ']"
 Python Developer z chemi / biologi ,python," Mid, Senior ","[' Python ', ' Git ', ' React ', ' Docker ', ' Linux ', ' Django ', ' Celery ', ' CSS ', ' Angular ']"
 Data Engineer ,other, Senior ,"[' Python ', ' Scala ', ' AWS ', ' Kinesis ', ' Kafka ', ' Spark ', ' PySpark ', ' Flink ', ' Hadoop ', ' Storm ', ' Hive ', ' GCP ', ' Azure ', ' SQL ', ' Snowflake ', ' NoSQL ', ' AWS Redshift ', ' BigQuery ', ' PostgreSQL ', ' MySQL ', ' MongoDB ', ' Apache Airflow ', ' Glue ', ' Azure Data Factory ', ' Talend ', ' Azure Data ', ' AWS ECS ', ' AWS Lambda ', ' Informatica ', ' Databricks ', ' Machine Learning ', ' SQL/NoSQL ', ' Docker ', ' ECS ', ' Kubernetes ', ' Azure Data Lake ', ' Apache Hudi ', ' Apache Iceberg ', ' Delta lake ', ' JSON ', ' XML ', ' Proto ', ' Parquet ', ' Avro ', ' ORC ']"
 Remote Senior Cloud ETL Developer (GCP) ,data, Senior ,"[' GCP ', ' ETL ', ' BigQuery ', ' Cloud Composer ', ' Airflow ', ' Python ', ' SQL ', ' Java ']"
 Senior QA Engineer with Python ,testing," Senior, Expert ","[' Python ', ' SQL ', ' Robot Framework ']"
 Snowflake Engineer ,data, Mid ,"[' Snowflake ', ' DWH ', ' SQL ', ' Python ', ' Java ', ' Scala ', ' ETL ']"
 Junior Python Developer ,python, Junior ,"[' Python ', ' HTML ', ' SQL ', ' JavaScript ', ' CSS ', ' Azure ', ' DevOps ', ' Odoo ', ' Problem solving ', ' Proactivity ']"
 Data Engineer ,other, Senior ,"[' Python ', ' AWS Cloud ']"
 Data Engineer ,data," Mid, Senior ","[' Data engineering ', ' Spark ', ' SQL ', ' Python ', ' Big Data ', ' dbt ', ' AWS Cloud ', ' ETL ', ' Java ', ' Athena ', ' Machine Learning ']"
 Remote Mid / Senior Security Engineer ,security," Mid, Senior ","[' Security ', ' SOAR ', ' SIEM ', ' PAM ', ' CASB ', ' EDR ', ' Linux ', ' Windows ', ' Unix ', ' TCP/IP ', ' PowerShell ', ' Python ', ' AWS ', ' Azure ', ' GCP ', ' CISSP ', ' CISM ']"
 Medior DevOps Engineer ,devops, Mid ,"[' DevOps ', ' CI/CD Pipelines ', ' Cloud computing ', ' AWS ', ' Git ', ' Python ', ' Bash script ', ' IaC ', ' Jira ', ' Terraform ', ' Kubernetes ', ' Docker ']"
 QA Automation Engineer ,testing, Senior ,"[' JavaScript ', ' Java ', ' Python ', ' Kotlin ', ' Cypress ', ' Selenium ', ' Microservices ', ' HTTP ', ' REST API ', ' CDN ', ' CI/CD ']"
 Mid / Senior Data Engineer with SQL ,data," Mid, Senior ","[' SQL ', ' Spark ', ' ETL ', ' Data engineering ', ' Python ', ' Kafka ', ' Airflow ', ' DevOps ', ' Snowflake ', ' AWS ', ' Azure ', ' Azure Data Lake ', ' Azure Data Factory ', ' AWS Redshift ', ' Databricks ', ' GCP ', ' Google cloud platform ', ' BigQuery ']"
 Embedded Software Tester ,testing, Mid ,"[' C++ ', ' C ', ' Cucumber ', ' Appium ', ' Selenium ', ' Xamarin ', ' Python ', ' Java ', ' Telco ']"
 Automation Tester ,testing, Senior ,"[' Java EE ', ' Selenium ', ' Python ', ' JavaScript ', ' SQL ', ' Jira ']"
 Python Developer / ML Engineer ,data, Mid ,"[' Python ', ' Databricks ', ' PySpark ', ' Spark ', ' Machine learning ', ' SQL ', ' Azure ']"
 Senior Full-stack Developer ,python, Senior ,"[' Python ', ' ES6 ', ' JavaScript ', ' Relational database ', ' SQL ', ' MongoDB ', ' Django ', ' Ansible ', ' AWS ', ' Agile ', ' React ', ' Redux ', ' Scrum ']"
 Senior DevOps Engineer (ID: 316) ,devops, Senior ,"[' Python ', ' Jenkins ', ' Conan.io ', ' CMake ', ' Windows ', ' Linux ', ' AWS Cloud ']"
 Mid/Senior DevOps Engineer ,devops," Mid, Senior ","[' Java ', ' Python ', ' JavaScript ', ' TypeScript ', ' Kubernetes ', ' TLS ', ' Grafana ', ' Prometheus ', ' CloudWatch ', ' Jenkins ', ' IaaC ', ' CloudFormation ', ' AWS ', ' AWS ', ' AWS CDK ', ' Go ']"
 DevOps Engineer ,devops," Mid, Senior ","[' Docker ', ' Ansible ', ' Linux ', ' Terraform ', ' Git ', ' Shell ', ' Puppet ', ' Python ', ' Groovy ', ' Jenkins ', ' CI/CD ', ' Perforce ', ' Virtualization ', ' VMware ', ' Windows ', ' macOS ', ' AWS ', ' Kubernetes ', ' Kafka ', ' AWS EC2 ']"
 Java Software Developer ,python, Mid ,"[' Java ', ' SQL ', ' Linux ', ' OOP ', ' Git ', ' Jenkins ', ' Bash ', ' Perl ', ' Python ', ' Spock ', ' sbt ', ' Eclipse ', ' Vaadin ']"
 R&D Test Automation Python Developer ,testing, Mid ,"[' Python ', ' pytest ', ' TCP ', ' IP ', ' VLAN ', ' Jenkins ', ' Linux ', ' Bash ']"
 Senior/Lead Data Scientist ,data," Senior, Expert ","[' Machine learning ', ' Python ', ' SQL ', ' NLP ', ' Computer vision ', ' Cloud ', ' TensorFlow ', ' Spark ', ' Kubernetes ', ' AWS ', ' pandas ', ' scikit-learn ', ' ETL ', ' Keras ', ' PyTorch ']"
 Mid QA Test Engineer ,testing, Mid ,"[' Java ', ' BDD ', ' TDD ', ' Cucumber ', ' Appium ', ' REST API ', ' Spring Boot ', ' JavaScript ', ' Python ']"
 DevOps Engineer ,devops, Mid ,"[' Linux ', ' Docker ', ' Kubernetes ', ' Git ', ' Google Cloud Platform ', ' Python ', ' CI/CD ']"
 Data Engineer ,data, Mid ,"[' Python ', ' SQL ', ' Spark ', ' Hive ', ' Big data ']"
